iter	Passed	Remaining
923	8201	80561
924	8211	80562
925	8220	80554
926	8229	80542
927	8238	80535
928	8247	80533
929	8256	80524
930	8266	80520
931	8274	80504
932	8282	80485
933	8290	80470
934	8300	80470
935	8308	80457
936	8317	80453
937	8325	80437
938	8335	80437
939	8344	80423
940	8353	80415
941	8362	80406
942	8371	80402
943	8378	80380
944	8387	80368
945	8396	80357
946	8404	80341
947	8413	80335
948	8423	80338
949	8433	80343
950	8441	80326
951	8449	80304
952	8457	80290
953	8467	80287
954	8476	80284
955	8485	80279
956	8494	80264
957	8503	80255
958	8513	80260
959	8521	80245
960	8531	80247
961	8540	80236
962	8547	80212
963	8556	80207
964	8565	80197
965	8574	80190
966	8584	80190
967	8592	80176
968	8602	80176
969	8610	80157
970	8618	80143
971	8627	80134
972	8636	80125
973	8644	80106
974	8653	80097
975	8663	80104
976	8672	80091
977	8680	80079
978	8689	80073
979	8700	80076
980	8708	80063
981	8717	80056
982	8725	80042
983	8734	80032
984	8744	80027
985	8752	80018
986	8763	80022
987	8772	80014
988	8780	80002
989	8790	79998
990	8798	79988
991	8808	79984
992	8817	79975
993	8825	79957
994	8833	79943
995	8843	79943
996	8852	79936
997	8861	79930
998	8870	79920
999	8878	79903
1000	8887	79896
1001	8896	79886
1002	8905	79885
1003	8914	79874
1004	8923	79865
1005	8932	79861
1006	8942	79859
1007	8950	79845
1008	8959	79834
1009	8967	79820
1010	8975	79804
1011	8985	79805
1012	8994	79800
1013	9003	79790
1014	9012	79784
1015	9020	79766
1016	9029	79757
1017	9038	79744
1018	9046	79730
1019	9054	79714
1020	9063	79707
1021	9072	79699
1022	9080	79685
1023	9090	79686
1024	9100	79687
1025	9111	79691
1026	9120	79684
1027	9127	79658
1028	9135	79641
1029	9145	79648
1030	9155	79642
1031	9164	79635
1032	9172	79618
1033	9181	79612
1034	9190	79602
1035	9198	79592
1036	9207	79581
1037	9216	79574
1038	9226	79574
1039	9234	79562
1040	9244	79557
1041	9254	79557
1042	9264	79556
1043	9272	79546
1044	9281	79536
1045	9289	79517
1046	9297	79501
1047	9305	79490
1048	9315	79486
1049	9323	79475
1050	9332	79466
1051	9341	79459
1052	9350	79449
1053	9358	79433
1054	9367	79425
1055	9377	79425
1056	9386	79417
1057	9396	79414
1058	9403	79393
1059	9411	79379
1060	9420	79366
1061	9428	79355
1062	9437	79341
1063	9445	79331
1064	9453	79310
1065	9461	79296
1066	9470	79284
1067	9478	79271
1068	9486	79252
1069	9494	79237
1070	9502	79221
1071	9510	79205
1072	9519	79203
1073	9528	79192
1074	9536	79175
1075	9544	79160
1076	9552	79142
1077	9561	79134
1078	9568	79114
1079	9577	79100
1080	9586	79094
1081	9595	79087
1082	9604	79075
1083	9612	79065
1084	9621	79054
1085	9629	79039
1086	9638	79034
1087	9647	79028
1088	9657	79024
1089	9665	79012
1090	9675	79006
1091	9683	78995
1092	9692	78987
1093	9700	78972
1094	9709	78958
1095	9716	78940
1096	9726	78935
1097	9734	78919
1098	9744	78919
1099	9753	78911
1100	9761	78898
1101	9770	78887
1102	9778	78871
1103	9788	78876
1104	9798	78878
1105	9806	78861
1106	9815	78853
1107	9824	78847
1108	9833	78838
1109	9843	78833
1110	9851	78822
1111	9860	78814
1112	9870	78816
1113	9880	78809
1114	9889	78809
1115	9899	78802
1116	9907	78788
1117	9915	78775
1118	9924	78768
1119	9933	78762
1120	9942	78750
1121	9951	78743
1122	9960	78736
1123	9969	78729
1124	9978	78717
1125	9988	78716
1126	9997	78707
1127	10006	78703
1128	10014	78688
1129	10023	78676
1130	10031	78663
1131	10040	78657
1132	10049	78648
1133	10058	78637
1134	10066	78626
1135	10075	78616
1136	10083	78602
1137	10091	78587
1138	10099	78572
1139	10108	78561
1140	10117	78557
1141	10127	78552
1142	10135	78540
1143	10144	78528
1144	10152	78517
1145	10162	78512
1146	10171	78505
1147	10178	78485
1148	10187	78475
1149	10197	78473
1150	10204	78456
1151	10214	78452
1152	10223	78443
1153	10232	78437
1154	10241	78428
1155	10250	78418
1156	10258	78407
1157	10267	78399
1158	10275	78385
1159	10284	78378
1160	10294	78374
1161	10303	78367
1162	10311	78353
1163	10320	78345
1164	10328	78324
1165	10335	78306
1166	10344	78297
1167	10352	78283
1168	10360	78269
1169	10369	78256
1170	10377	78240
1171	10385	78225
1172	10393	78211
1173	10402	78204
1174	10409	78183
1175	10416	78162
1176	10426	78155
1177	10436	78154
1178	10444	78145
1179	10454	78139
1180	10461	78118
1181	10469	78108
1182	10478	78096
1183	10487	78087
1184	10496	78084
1185	10506	78078
1186	10515	78076
1187	10524	78068
1188	10533	78058
1189	10541	78043
1190	10550	78032
1191	10559	78025
1192	10568	78017
1193	10577	78013
1194	10586	78002
1195	10595	77999
1196	10604	77990
1197	10613	77979
1198	10622	77971
1199	10629	77952
1200	10639	77946
1201	10647	77934
1202	10655	77920
1203	10663	77900
1204	10671	77887
1205	10680	77880
1206	10689	77873
1207	10698	77862
1208	10706	77849
1209	10714	77837
1210	10722	77823
1211	10732	77816
1212	10740	77803
1213	10748	77788
1214	10757	77783
1215	10765	77769
1216	10775	77765
1217	10784	77755
1218	10792	77744
1219	10799	77723
1220	10809	77723
1221	10818	77714
1222	10827	77704
1223	10837	77702
1224	10845	77690
1225	10853	77673
1226	10861	77660
1227	10869	77647
1228	10877	77628
1229	10885	77616
1230	10893	77601
1231	10901	77585
1232	10910	77579
1233	10919	77572
1234	10928	77560
1235	10937	77552
1236	10944	77533
1237	10954	77531
1238	10963	77522
1239	10973	77520
1240	10983	77518
1241	10992	77510
1242	11000	77495
1243	11008	77480
1244	11016	77470
1245	11025	77462
1246	11033	77448
1247	11043	77442
1248	11051	77429
1249	11059	77416
1250	11068	77406
1251	11076	77394
1252	11086	77391
1253	11095	77384
1254	11104	77374
1255	11112	77362
